0:0:2,0,0.99,-0.07,-0.07,59,-202,-58,521
0:0:2,1,0.94,-0.08,0.05,158,46,21,504
0:0:2,2,1.04,-0.10,0.07,295,-365,19,514
0:0:2,3,0.99,-0.17,-0.06,178,-464,-25,521
0:0:2,4,0.93,-0.14,-0.06,118,-210,-28,516
0:0:2,5,0.97,-0.13,-0.03,86,60,-56,512
0:0:2,6,1.10,-0.10,-0.01,140,-148,-82,511
0:0:2,7,1.07,-0.10,-0.01,192,-376,-99,510
0:0:2,8,0.98,-0.12,0.01,195,-445,-41,518
0:0:2,9,0.92,-0.14,-0.01,216,-302,-36,516
0:0:2,10,0.96,-0.14,-0.03,220,-207,-91,517
0:0:2,11,1.04,-0.15,-0.03,251,-372,-100,513
0:0:2,12,1.04,-0.17,-0.05,224,-462,-157,516
0:0:2,13,0.98,-0.15,-0.04,233,-249,-181,513
0:0:2,14,0.96,-0.12,-0.08,219,-138,-146,509
0:0:2,15,0.99,-0.12,-0.09,183,-129,-181,510
0:0:2,16,0.98,-0.15,-0.12,139,-142,-194,520
0:0:2,17,0.96,-0.16,-0.11,81,-107,-176,516
0:0:2,18,0.96,-0.13,-0.10,27,26,-208,517
0:0:3,19,1.07,-0.09,0.02,117,87,-223,513
0:0:3,20,1.16,-0.08,0.03,247,-332,-207,515
0:0:3,21,1.13,-0.04,-0.04,392,-712,-201,507
0:0:3,22,0.87,-0.06,-0.12,355,-521,-93,511
0:0:3,23,0.91,-0.06,-0.21,264,-352,-121,516
0:0:3,24,1.06,-0.10,-0.19,299,-528,-157,513
0:0:3,25,1.12,-0.18,-0.11,349,-713,-187,517
0:0:3,26,0.91,-0.08,-0.20,324,-827,-59,513
0:0:3,27,0.73,-0.13,-0.33,86,-149,-78,513
0:0:3,28,0.88,-0.16,-0.24,-3,377,-114,511
0:0:3,29,1.15,-0.12,-0.15,8,416,-290,507
0:0:3,30,1.25,-0.09,-0.06,103,202,-464,510
0:0:3,31,1.10,-0.12,-0.04,236,8,-432,512
0:0:3,32,0.88,-0.04,-0.16,268,108,-197,520
