0:0:2,0,0.56,0.17,-0.83,-160,14,575,520,0
0:0:2,1,0.50,0.17,-0.79,-244,241,467,523,0
0:0:2,2,0.49,0.13,-0.81,-103,169,322,516,0
0:0:2,3,0.42,0.10,-0.77,-142,397,344,518,0
0:0:3,4,0.46,0.06,-0.79,-34,502,316,511,0
0:0:3,5,0.52,0.06,-0.80,-37,365,324,516,0
0:0:3,6,0.52,0.06,-0.79,-26,230,334,518,0
0:0:3,7,0.51,0.07,-0.80,-14,202,330,511,0
0:0:3,8,0.49,0.06,-0.80,-12,273,338,515,0
0:0:3,9,0.50,0.04,-0.80,-24,290,316,518,0
0:0:3,10,0.50,0.04,-0.80,-31,296,320,512,0
0:0:3,11,0.49,0.07,-0.79,-28,313,331,517,0
0:0:3,12,0.51,0.07,-0.78,-18,332,352,513,0
0:0:3,13,0.56,0.05,-0.77,2,240,337,517,0
0:0:3,14,0.58,0.03,-0.76,32,166,301,510,0
0:0:3,15,0.53,0.02,-0.78,48,220,276,513,0
0:0:3,16,0.49,0.03,-0.79,49,414,258,517,0
0:0:3,17,0.55,0.01,-0.79,32,486,237,514,0
0:0:3,18,0.59,0.01,-0.77,42,402,226,513,0
0:0:3,19,0.55,0.01,-0.75,69,368,218,516,0
0:0:3,20,0.52,0.02,-0.75,89,434,221,514,0
0:0:3,21,0.54,0.00,-0.79,61,562,220,512,0
0:0:3,22,0.56,-0.02,-0.80,26,651,220,515,0
0:0:3,23,0.60,-0.02,-0.77,12,631,235,517,0
0:0:3,24,0.62,-0.02,-0.76,5,567,186,512,0
0:0:3,25,0.63,-0.02,-0.76,12,401,131,521,0
0:0:3,26,0.65,-0.03,-0.77,1,256,121,515,0
0:0:3,27,0.62,-0.02,-0.76,-1,233,144,516,0
0:0:3,28,0.61,-0.02,-0.75,-31,216,152,511,0
0:0:3,29,0.61,-0.02,-0.75,-29,223,144,514,0
0:0:3,30,0.62,-0.02,-0.75,-27,221,143,516,0
0:0:3,31,0.62,-0.03,-0.75,-22,217,131,513,0
0:0:3,32,0.61,-0.03,-0.73,-17,247,127,510,0
0:0:3,33,0.62,-0.03,-0.73,-16,234,139,516,0
0:0:3,34,0.62,-0.05,-0.73,-22,192,158,507,0
0:0:3,35,0.62,-0.05,-0.72,-26,192,155,518,0
0:0:3,36,0.61,-0.03,-0.73,-19,276,163,512,0
0:0:3,37,0.61,-0.04,-0.73,-27,410,166,515,0
0:0:3,38,0.62,-0.05,-0.73,-57,492,156,514,0
0:0:3,39,0.65,-0.07,-0.72,-78,491,136,512,0
0:0:3,40,0.65,-0.06,-0.71,-73,467,134,514,0
0:0:3,41,0.66,-0.04,-0.71,-47,464,133,516,0
0:0:4,42,0.67,-0.03,-0.71,-34,443,119,513,0
0:0:4,43,0.68,-0.05,-0.70,-15,403,105,514,0
0:0:4,44,0.70,-0.06,-0.70,-13,320,78,514,0
0:0:4,45,0.69,-0.06,-0.71,-9,268,73,513,0
0:0:4,46,0.67,-0.06,-0.71,-32,259,59,515,0
0:0:4,47,0.68,-0.07,-0.71,-38,257,48,513,0
0:0:4,48,0.67,-0.06,-0.70,-34,253,51,514,0
0:0:4,49,0.67,-0.08,-0.70,-43,249,51,515,0
0:0:4,50,0.65,-0.08,-0.71,-58,239,60,512,0
0:0:4,51,0.65,-0.07,-0.70,-55,255,76,513,0
0:0:4,52,0.65,-0.08,-0.69,-39,255,81,516,0
0:0:4,53,0.65,-0.09,-0.69,-47,314,73,514,0
0:0:4,54,0.68,-0.09,-0.68,-42,309,64,512,0
