0:0:2,0,0.38,-0.48,-0.67,83,246,96,517
0:0:2,1,0.41,-0.48,-0.67,82,222,90,512
0:0:2,2,0.42,-0.48,-0.69,79,150,84,512
0:0:2,3,0.40,-0.49,-0.69,70,165,82,520
0:0:2,4,0.40,-0.49,-0.69,51,230,87,512
0:0:2,5,0.42,-0.50,-0.70,21,234,87,512
0:0:2,6,0.44,-0.50,-0.70,-12,228,93,514
0:0:2,7,0.40,-0.51,-0.70,-41,254,93,512
0:0:2,8,0.42,-0.49,-0.70,-47,248,95,515
0:0:2,9,0.40,-0.49,-0.68,-59,258,105,513
0:0:2,10,0.40,-0.48,-0.66,-52,299,113,513
0:0:2,11,0.42,-0.48,-0.66,-41,287,121,513
0:0:2,12,0.43,-0.48,-0.68,-42,275,132,517
0:0:2,13,0.42,-0.48,-0.68,-27,297,134,515
0:0:2,14,0.44,-0.47,-0.67,6,296,124,515
0:0:2,15,0.44,-0.47,-0.67,34,260,113,514
0:0:2,16,0.48,-0.48,-0.68,52,159,118,514
0:0:2,17,0.47,-0.49,-0.68,43,134,108,514
0:0:2,18,0.46,-0.49,-0.70,21,190,114,511
0:0:3,19,0.46,-0.48,-0.68,17,261,113,512
0:0:3,20,0.48,-0.48,-0.67,7,246,118,513
0:0:3,21,0.49,-0.48,-0.68,4,161,135,516
0:0:3,22,0.48,-0.48,-0.68,-4,140,149,514
0:0:3,23,0.49,-0.49,-0.68,-36,179,149,513
0:0:3,24,0.47,-0.48,-0.68,-58,265,157,515
0:0:3,25,0.48,-0.47,-0.66,-44,292,170,514
0:0:3,26,0.50,-0.46,-0.67,-17,227,183,509
0:0:3,27,0.49,-0.47,-0.68,1,200,188,517
0:0:3,28,0.49,-0.48,-0.69,2,219,175,517
0:0:3,29,0.48,-0.47,-0.68,-18,220,160,510
0:0:3,30,0.49,-0.48,-0.70,-16,164,162,514
0:0:3,31,0.49,-0.47,-0.70,-42,119,156,514
0:0:3,32,0.46,-0.49,-0.70,-111,148,146,516
0:0:3,33,0.47,-0.48,-0.70,-163,171,161,515
0:0:3,34,0.47,-0.48,-0.68,-182,185,175,514
0:0:3,35,0.45,-0.47,-0.66,-203,267,204,517
0:0:3,36,0.44,-0.44,-0.65,-194,337,225,512
0:0:3,37,0.46,-0.42,-0.63,-127,327,254,516
0:0:3,38,0.48,-0.40,-0.61,-52,315,264,517
0:0:3,39,0.48,-0.40,-0.63,16,297,256,513
0:0:3,40,0.49,-0.39,-0.64,80,299,252,517
0:0:3,41,0.52,-0.41,-0.66,139,230,256,515
0:0:3,42,0.53,-0.44,-0.68,175,153,236,517
0:0:3,43,0.52,-0.44,-0.67,189,158,201,513
0:0:3,44,0.53,-0.43,-0.67,218,164,183,512
