0:0:2,0,0.36,-0.68,-0.86,287,-951,31,521,0
0:0:2,1,0.22,-0.65,-0.81,135,-956,-54,512,0
0:0:2,2,0.17,-0.56,-0.75,65,-688,-30,512,0
0:0:2,3,0.15,-0.52,-0.75,-40,-436,2,516,0
0:0:2,4,0.17,-0.48,-0.76,-69,-335,21,517,0
0:0:2,5,0.13,-0.48,-0.79,-101,-172,54,513,0
0:0:2,6,0.16,-0.49,-0.78,-139,-97,76,514,0
0:0:2,7,0.14,-0.46,-0.74,-147,-13,69,514,0
0:0:2,8,0.15,-0.43,-0.71,-153,75,80,513,0
0:0:2,9,0.15,-0.41,-0.68,-117,96,95,514,0
0:0:2,10,0.23,-0.40,-0.72,-89,-37,95,508,0
0:0:2,11,0.19,-0.42,-0.78,-97,-41,127,511,0
0:0:2,12,0.15,-0.44,-0.80,-136,238,89,514,0
0:0:2,13,0.20,-0.43,-0.76,-123,481,73,512,0
0:0:2,14,0.26,-0.42,-0.76,-124,437,35,512,0
0:0:2,15,0.25,-0.43,-0.81,-155,270,-3,510,0
0:0:2,16,0.24,-0.44,-0.83,-228,352,-6,517,0
0:0:2,17,0.23,-0.41,-0.83,-287,586,46,512,0
0:0:2,18,0.24,-0.36,-0.79,-303,748,45,514,0
0:0:3,19,0.30,-0.34,-0.76,-263,726,15,512,1
0:0:3,20,0.40,-0.32,-0.73,-191,403,-7,514,1
0:0:3,21,0.41,-0.32,-0.74,-132,100,-22,515,1
0:0:3,22,0.39,-0.33,-0.76,-81,36,-100,512,1
0:0:3,23,0.35,-0.34,-0.77,5,201,-170,516,1
0:0:3,24,0.26,-0.37,-0.71,66,368,-255,520,1
0:0:3,25,0.53,-0.40,-0.72,194,-139,-300,516,1
0:0:3,26,0.46,-0.42,-0.80,235,-502,-317,518,1
0:0:3,27,0.34,-0.45,-0.82,176,-464,-357,512,1
0:0:3,28,0.31,-0.41,-0.81,129,-263,-358,517,1
0:0:3,29,0.30,-0.39,-0.81,103,-66,-323,515,1
0:0:3,30,0.32,-0.39,-0.78,79,11,-295,513,1
0:0:3,31,0.37,-0.39,-0.77,83,-96,-305,516,1
0:0:3,32,0.40,-0.38,-0.76,95,-252,-276,515,1
0:0:3,33,0.36,-0.39,-0.78,96,-270,-260,515,1
0:0:3,34,0.31,-0.39,-0.79,93,-141,-231,515,1
0:0:3,35,0.30,-0.38,-0.78,64,58,-218,511,1
0:0:3,36,0.33,-0.37,-0.76,48,98,-173,517,1
0:0:3,37,0.39,-0.36,-0.75,75,-52,-123,511,1
0:0:3,38,0.38,-0.35,-0.76,94,-120,-88,513,1
0:0:3,39,0.35,-0.36,-0.79,90,-53,-78,512,1
0:0:3,40,0.36,-0.35,-0.79,79,6,-80,509,1
0:0:3,41,0.38,-0.33,-0.76,98,23,-75,515,1
0:0:3,42,0.39,-0.32,-0.75,143,10,-64,511,1
0:0:3,43,0.43,-0.35,-0.75,165,-25,-76,515,1
0:0:3,44,0.43,-0.36,-0.79,164,-52,-73,512,1
0:0:3,45,0.42,-0.37,-0.79,145,-63,-79,515,1
0:0:3,46,0.43,-0.36,-0.78,151,-79,-86,510,1
0:0:3,47,0.42,-0.37,-0.77,142,-63,-84,512,1
0:0:3,48,0.44,-0.39,-0.77,119,-73,-95,513,1
0:0:3,49,0.42,-0.40,-0.78,101,-82,-91,514,1
0:0:3,50,0.41,-0.38,-0.78,81,-62,-84,516,1
