0:0:2,0,0.70,-0.40,-0.56,31,288,216,517
0:0:2,1,0.71,-0.40,-0.56,24,280,211,514
0:0:2,2,0.72,-0.39,-0.56,19,257,192,517
0:0:2,3,0.72,-0.39,-0.56,15,246,184,513
0:0:2,4,0.70,-0.39,-0.55,8,256,182,513
0:0:2,5,0.72,-0.38,-0.55,2,261,176,516
0:0:2,6,0.72,-0.38,-0.56,5,257,174,511
0:0:2,7,0.71,-0.37,-0.55,9,238,163,507
0:0:2,8,0.72,-0.38,-0.54,18,206,157,498
0:0:2,9,0.72,-0.38,-0.56,13,194,153,504
0:0:2,10,0.72,-0.38,-0.56,15,199,152,516
0:0:2,11,0.72,-0.38,-0.56,5,190,141,523
0:0:2,12,0.72,-0.38,-0.56,-3,182,131,503
0:0:2,13,0.71,-0.38,-0.55,-12,180,126,507
0:0:2,14,0.70,-0.38,-0.56,-23,228,111,515
0:0:2,15,0.70,-0.37,-0.56,-33,240,93,516
0:0:2,16,0.71,-0.36,-0.56,-20,200,97,514
0:0:2,17,0.71,-0.36,-0.56,-6,154,102,514
0:0:2,18,0.69,-0.35,-0.56,-7,162,101,516
0:0:3,19,0.71,-0.35,-0.56,-9,218,104,511
0:0:3,20,0.71,-0.32,-0.57,-4,237,108,512
0:0:3,21,0.72,-0.32,-0.56,-11,219,107,515
0:0:3,22,0.72,-0.32,-0.56,-17,214,100,512
0:0:3,23,0.73,-0.33,-0.56,-23,204,92,514
0:0:3,24,0.72,-0.34,-0.56,-31,207,76,518
0:0:3,25,0.72,-0.35,-0.57,-22,231,78,515
0:0:3,26,0.71,-0.35,-0.56,-22,275,73,510
0:0:3,27,0.71,-0.33,-0.54,-18,292,72,517
0:0:3,28,0.73,-0.34,-0.55,3,267,71,511
0:0:3,29,0.71,-0.34,-0.54,22,255,71,513
0:0:3,30,0.72,-0.34,-0.54,41,245,66,512
0:0:3,31,0.72,-0.35,-0.56,53,250,48,516
0:0:3,32,0.73,-0.35,-0.55,66,263,10,511
0:0:3,33,0.74,-0.34,-0.56,89,236,-21,515
0:0:3,34,0.73,-0.32,-0.56,102,230,-38,514
0:0:3,35,0.72,-0.30,-0.56,105,257,-39,513
0:0:3,36,0.73,-0.29,-0.56,116,234,-16,511
0:0:3,37,0.73,-0.30,-0.56,140,170,23,512
0:0:3,38,0.73,-0.30,-0.56,141,138,46,514
0:0:3,39,0.72,-0.31,-0.56,132,163,66,510
